learner_id,name,membership_plan,total_courses_completed,learner_segment,join_date
L00001,Bima Santoso,Plus,4,Intermediate,2024-11-24
L00002,Dimas Pratama,Plus,24,Intermediate,2025-03-06
L00003,Dimas Pratama,Free,21,Beginner,2023-11-30
L00004,Citra Dewi,Plus,15,Beginner,2024-11-14
L00005,Eka Wijaya,Pro,2,Beginner,2026-04-03
L00006,Dimas Pratama,Pro,19,Advanced,2026-08-23
L00007,Alya Putri,Pro,4,Beginner,2023-11-01
L00008,Dimas Pratama,Plus,8,Advanced,2026-08-30
L00009,Citra Dewi,Plus,3,Intermediate,2024-12-01
L00010,Eka Wijaya,Pro,10,Beginner,2024-10-01
L00011,Alya Putri,Plus,16,Advanced,2025-11-01
L00012,Alya Putri,Free,13,Intermediate,2024-02-27
L00013,Bima Santoso,Plus,20,Intermediate,2026-08-10
L00014,Eka Wijaya,Pro,22,Intermediate,2025-07-11
L00015,Bima Santoso,Free,9,Beginner,2024-06-16
L00016,Alya Putri,Plus,11,Advanced,2024-12-28
L00017,Eka Wijaya,Plus,9,Intermediate,2026-08-25
L00018,Eka Wijaya,Plus,19,Beginner,2024-08-28
L00019,Alya Putri,Plus,11,Intermediate,2024-11-02
L00020,Bima Santoso,Free,7,Beginner,2026-08-12
L00021,Citra Dewi,Plus,17,Intermediate,2025-04-01
L00022,Citra Dewi,Pro,20,Beginner,2024-06-22
L00023,Dimas Pratama,Plus,12,Advanced,2026-01-09
L00024,Eka Wijaya,Pro,18,Intermediate,2024-11-27
L00025,Citra Dewi,Pro,3,Advanced,2026-04-04
L00026,Alya Putri,Free,2,Intermediate,2023-11-03
L00027,Eka Wijaya,Plus,3,Beginner,2026-03-06
L00028,Eka Wijaya,Pro,13,Intermediate,2023-12-12
L00029,Eka Wijaya,Pro,1,Advanced,2024-07-01
L00030,Eka Wijaya,Pro,1,Beginner,2026-03-10
L00031,Dimas Pratama,Free,1,Intermediate,2026-07-12
L00032,Citra Dewi,Pro,0,Advanced,2025-02-23
L00033,Dimas Pratama,Free,4,Beginner,2024-10-28
L00034,Dimas Pratama,Plus,1,Advanced,2024-04-27
L00035,Eka Wijaya,Pro,25,Advanced,2023-09-24
L00036,Dimas Pratama,Pro,18,Intermediate,2024-07-19
L00037,Bima Santoso,Pro,22,Beginner,2024-07-02
L00038,Alya Putri,Pro,8,Intermediate,2025-06-29
L00039,Citra Dewi,Pro,21,Advanced,2026-01-19
L00040,Citra Dewi,Pro,8,Advanced,2025-11-07
L00041,Citra Dewi,Pro,11,Intermediate,2024-06-21
L00042,Eka Wijaya,Free,24,Intermediate,2025-05-07
L00043,Citra Dewi,Free,1,Beginner,2026-08-31
L00044,Bima Santoso,Free,8,Beginner,2024-03-28
L00045,Alya Putri,Plus,5,Intermediate,2023-09-08
L00046,Dimas Pratama,Plus,4,Beginner,2024-05-17
L00047,Alya Putri,Plus,5,Beginner,2024-10-27
L00048,Citra Dewi,Free,9,Beginner,2025-09-09
L00049,Citra Dewi,Free,8,Beginner,2023-10-10
L00050,Eka Wijaya,Plus,25,Beginner,2025-01-22
L00051,Alya Putri,Free,16,Intermediate,2026-08-12
L00052,Bima Santoso,Pro,20,Beginner,2025-10-31
L00053,Alya Putri,Free,2,Intermediate,2023-12-07
L00054,Dimas Pratama,Plus,4,Advanced,2024-02-10
L00055,Bima Santoso,Pro,9,Beginner,2025-12-03
L00056,Citra Dewi,Plus,23,Intermediate,2025-02-24
L00057,Dimas Pratama,Pro,18,Beginner,2026-01-01
L00058,Citra Dewi,Free,25,Intermediate,2026-06-08
L00059,Citra Dewi,Plus,24,Advanced,2024-11-02
L00060,Dimas Pratama,Free,10,Intermediate,2026-04-14
L00061,Alya Putri,Plus,10,Beginner,2025-10-31
L00062,Alya Putri,Plus,7,Intermediate,2025-03-07
L00063,Alya Putri,Free,25,Intermediate,2026-02-23
L00064,Dimas Pratama,Plus,22,Beginner,2026-01-05
L00065,Eka Wijaya,Free,1,Beginner,2024-10-26
L00066,Eka Wijaya,Free,19,Intermediate,2026-01-27
L00067,Alya Putri,Plus,22,Intermediate,2024-07-11
L00068,Citra Dewi,Plus,25,Advanced,2025-01-10
L00069,Dimas Pratama,Plus,1,Intermediate,2024-12-02
L00070,Bima Santoso,Pro,23,Beginner,2024-05-23
L00071,Eka Wijaya,Plus,9,Intermediate,2025-05-01
L00072,Eka Wijaya,Pro,17,Intermediate,2025-12-23
L00073,Dimas Pratama,Plus,16,Intermediate,2024-05-18
L00074,Eka Wijaya,Plus,16,Beginner,2024-12-18
L00075,Alya Putri,Pro,22,Intermediate,2023-11-21
